[16-02-2021 15:09:21] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 15:20:45] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 15:20:51] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10832000 - MODELO:F273
[16-02-2021 15:21:06] - INICIAL: XF273MAA10830003, FINAL: XF273MAA10832002 - MODELO:F273
[17-02-2021 07:01:23] - INICIAL: XF273MAA10840001, FINAL: XF273MAA10840010 - MODELO:F273
[17-02-2021 07:31:14] - INICIAL: XF273MAA10740001, FINAL: XF273MAA10740010 - MODELO:F273
[27-05-2021 14:40:09] - INICIAL: XF273MAA12150002, FINAL: XF273MAA12150002 - MODELO:F273
[27-05-2021 14:40:15] - INICIAL: XF273MAA12150002, FINAL: XF273MAA12150010 - MODELO:F273
[27-05-2021 14:57:39] - INICIAL: XF273MAA12150001, FINAL: XF273MAA12150001 - MODELO:F273
[27-05-2021 14:57:45] - INICIAL: XF273MAA12150010, FINAL: XF273MAA12150010 - MODELO:F273
[27-05-2021 14:57:49] - INICIAL: XF273MAA12150010, FINAL: XF273MAA12150509 - MODELO:F273
[27-05-2021 14:57:55] - INICIAL: XF273MAA12150001, FINAL: XF273MAA12150500 - MODELO:F273
[27-05-2021 14:58:02] - INICIAL: XF273MAA12150002, FINAL: XF273MAA12150501 - MODELO:F273
[27-05-2021 15:09:22] - INICIAL: XF273MAA12150001, FINAL: XF273MAA12150001 - MODELO:F273
